year_ceremony,category,film,name
1928,ACTOR,The Last Command,Emil Jannings
1928,ACTOR,The Noose,Richard Barthelmess
1929,ACTOR,Alibi,Chester Morris
1929,ACTOR,In Old Arizona,Warner Baxter
1929,ACTOR,The Patriot (1928),Lewis Stone
1929,ACTOR,The Valiant,Paul Muni
1929,ACTOR,Thunderbolt,George Bancroft
1930,ACTOR,Bulldog Drummond,Ronald Colman
1930,ACTOR,Disraeli,George Arliss
1930,ACTOR,The Big House,Wallace Beery
1930,ACTOR,The Big Pond,Maurice Chevalier
1930,ACTOR,The Green Goddess,George Arliss
1930,ACTOR,The Rogue Song,Lawrence Tibbett
1931,ACTOR,A Free Soul,Lionel Barrymore
1931,ACTOR,Cimarron (1930),Richard Dix
1931,ACTOR,Skippy,Jackie Cooper
1931,ACTOR,The Front Page,Adolphe Menjou
1931,ACTOR,The Royal Family of Broadway,Fredric March
1932,ACTOR,Dr. Jekyll and Mr. Hyde (1931),Fredric March
1932,ACTOR,The Champ (1931),Wallace Beery
1932,ACTOR,The Guardsman,Alfred Lunt
1933,ACTOR,Berkeley Square,Leslie Howard
1933,ACTOR,I Am a Fugitive from a Chain Gang,Paul Muni
1933,ACTOR,The Private Life of Henry VIII,Charles Laughton
1935,ACTOR,It Happened One Night,Clark Gable
1935,ACTOR,The Affairs of Cellini,Frank Morgan
1935,ACTOR,The Thin Man,William Powell
1936,ACTOR,Black Fury,Paul Muni
1936,ACTOR,Mutiny on the Bounty (1935),Franchot Tone
1936,ACTOR,Mutiny on the Bounty (1935),Charles Laughton
1936,ACTOR,Mutiny on the Bounty (1935),Clark Gable
1936,ACTOR,The Informer,Victor McLaglen
1937,ACTOR IN A SUPPORTING ROLE,Come and Get It,Walter Brennan
1937,ACTOR,Dodsworth,Walter Huston
1937,ACTOR,Mr. Deeds Goes to Town,Gary Cooper
1937,ACTOR,My Man Godfrey,William Powell
1937,ACTOR IN A SUPPORTING ROLE,My Man Godfrey,Mischa Auer
1937,ACTOR IN A SUPPORTING ROLE,Pigskin Parade,Stuart Erwin
1937,ACTOR IN A SUPPORTING ROLE,Romeo and Juliet (1936),Basil Rathbone
1937,ACTOR,San Francisco,Spencer Tracy
1937,ACTOR IN A SUPPORTING ROLE,The General Died at Dawn,Akim Tamiroff
1937,ACTOR,The Story of Louis Pasteur,Paul Muni
1938,ACTOR,A Star Is Born (1937),Fredric March
1938,ACTOR,Captains Courageous,Spencer Tracy
1938,ACTOR,Conquest,Charles Boyer
1938,ACTOR IN A SUPPORTING ROLE,Lost Horizon,H. B. Warner
1938,ACTOR,Night Must Fall,Robert Montgomery
1938,ACTOR IN A SUPPORTING ROLE,The Awful Truth,Ralph Bellamy
1938,ACTOR IN A SUPPORTING ROLE,The Hurricane (1937),Thomas Mitchell
1938,ACTOR,The Life of Emile Zola,Paul Muni
1938,ACTOR IN A SUPPORTING ROLE,The Life of Emile Zola,Joseph Schildkraut
1938,ACTOR IN A SUPPORTING ROLE,Topper,Roland Young
1939,ACTOR,Algiers,Charles Boyer
1939,ACTOR IN A SUPPORTING ROLE,Algiers,Gene Lockhart
1939,ACTOR,Angels with Dirty Faces,James Cagney
1939,ACTOR,Boys Town,Spencer Tracy
1939,ACTOR IN A SUPPORTING ROLE,Four Daughters (1938),John Garfield
1939,ACTOR IN A SUPPORTING ROLE,If I Were King,Basil Rathbone
1939,ACTOR IN A SUPPORTING ROLE,Kentucky,Walter Brennan
1939,ACTOR IN A SUPPORTING ROLE,Marie Antoinette (1938),Robert Morley
1939,ACTOR,Pygmalion,Leslie Howard
1939,ACTOR,The Citadel,Robert Donat
1940,ACTOR,Babes in Arms,Mickey Rooney
1940,ACTOR IN A SUPPORTING ROLE,Beau Geste,Brian Donlevy
1940,ACTOR,Gone with the Wind,Clark Gable
1940,ACTOR,"Goodbye, Mr. Chips (1939)",Robert Donat
1940,ACTOR IN A SUPPORTING ROLE,Juarez,Brian Aherne
1940,ACTOR,Mr. Smith Goes to Washington,James Stewart
1940,ACTOR IN A SUPPORTING ROLE,Mr. Smith Goes to Washington,Harry Carey
1940,ACTOR IN A SUPPORTING ROLE,Mr. Smith Goes to Washington,Claude Rains
1940,ACTOR IN A SUPPORTING ROLE,Stagecoach,Thomas Mitchell
1940,ACTOR,Wuthering Heights,Laurence Olivier
1941,ACTOR,Abe Lincoln in Illinois,Raymond Massey
1941,ACTOR IN A SUPPORTING ROLE,Foreign Correspondent,Albert Basserman
1941,ACTOR,Rebecca,Laurence Olivier
1941,ACTOR,The Grapes of Wrath,Henry Fonda
1941,ACTOR,The Great Dictator,Charles Chaplin
1941,ACTOR IN A SUPPORTING ROLE,The Great Dictator,Jack Oakie
1941,ACTOR IN A SUPPORTING ROLE,The Letter (1940),James Stephenson
1941,ACTOR,The Philadelphia Story,James Stewart
1941,ACTOR IN A SUPPORTING ROLE,The Westerner,Walter Brennan
1941,ACTOR IN A SUPPORTING ROLE,They Knew What They Wanted,William Gargan
1942,ACTOR,All That Money Can Buy,Walter Huston
1942,ACTOR,Citizen Kane,Orson Welles
1942,ACTOR,Here Comes Mr. Jordan,Robert Montgomery
1942,ACTOR IN A SUPPORTING ROLE,Here Comes Mr. Jordan,James Gleason
1942,ACTOR IN A SUPPORTING ROLE,How Green Was My Valley,Donald Crisp
1942,ACTOR,Penny Serenade,Cary Grant
1942,ACTOR,Sergeant York,Gary Cooper
1942,ACTOR IN A SUPPORTING ROLE,Sergeant York,Walter Brennan
1942,ACTOR IN A SUPPORTING ROLE,The Devil and Miss Jones,Charles Coburn
