year_ceremony,category,film,name
1928,ACTRESS,7th Heaven,Janet Gaynor
1928,ACTRESS,A Ship Comes In,Louise Dresser
1928,ACTRESS,Sadie Thompson,Gloria Swanson
1929,ACTRESS,Coquette,Mary Pickford
1929,ACTRESS,Madame X,Ruth Chatterton
1929,ACTRESS,The Barker,Betty Compson
1929,ACTRESS,The Broadway Melody,Bessie Love
1929,ACTRESS,The Divine Lady,Corinne Griffith
1929,ACTRESS,The Letter (1928),Jeanne Eagels
1930,ACTRESS,Anna Christie,Greta Garbo
1930,ACTRESS,Sarah and Son,Ruth Chatterton
1930,ACTRESS,The Devil's Holiday,Nancy Carroll
1930,ACTRESS,The Divorcee,Norma Shearer
1930,ACTRESS,The Trespasser,Gloria Swanson
1930,ACTRESS,Their Own Desire,Norma Shearer
1931,ACTRESS,A Free Soul,Norma Shearer
1931,ACTRESS,Cimarron (1930),Irene Dunne
1931,ACTRESS,Holiday (1930),Ann Harding
1931,ACTRESS,Min and Bill,Marie Dressler
1931,ACTRESS,Morocco,Marlene Dietrich
1932,ACTRESS,Emma (1931),Marie Dressler
1932,ACTRESS,The Guardsman,Lynn Fontanne
1932,ACTRESS,The Sin of Madelon Claudet,Helen Hayes
1933,ACTRESS,Cavalcade,Diana Wynyard
1933,ACTRESS,Lady for a Day,May Robson
1933,ACTRESS,Morning Glory,Katharine Hepburn
1935,ACTRESS,It Happened One Night,Claudette Colbert
1935,ACTRESS,Of Human Bondage,Bette Davis
1935,ACTRESS,One Night of Love,Grace Moore
1935,ACTRESS,The Barretts of Wimpole Street,Norma Shearer
1936,ACTRESS,Alice Adams,Katharine Hepburn
1936,ACTRESS,Becky Sharp,Miriam Hopkins
1936,ACTRESS,Dangerous,Bette Davis
1936,ACTRESS,Escape Me Never,Elisabeth Bergner
1936,ACTRESS,Private Worlds,Claudette Colbert
1936,ACTRESS,The Dark Angel,Merle Oberon
1937,ACTRESS IN A SUPPORTING ROLE,Anthony Adverse,Gale Sondergaard
1937,ACTRESS IN A SUPPORTING ROLE,Dodsworth,Maria Ouspenskaya
1937,ACTRESS,My Man Godfrey,Carole Lombard
1937,ACTRESS IN A SUPPORTING ROLE,My Man Godfrey,Alice Brady
1937,ACTRESS,Romeo and Juliet (1936),Norma Shearer
1937,ACTRESS IN A SUPPORTING ROLE,The Gorgeous Hussy,Beulah Bondi
1937,ACTRESS,The Great Ziegfeld,Luise Rainer
1937,ACTRESS,Theodora Goes Wild,Irene Dunne
1937,ACTRESS IN A SUPPORTING ROLE,These Three,Bonita Granville
1937,ACTRESS,Valiant Is the Word for Carrie,Gladys George
1938,ACTRESS,A Star Is Born (1937),Janet Gaynor
1938,ACTRESS,Camille,Greta Garbo
1938,ACTRESS IN A SUPPORTING ROLE,Dead End,Claire Trevor
1938,ACTRESS IN A SUPPORTING ROLE,In Old Chicago,Alice Brady
1938,ACTRESS IN A SUPPORTING ROLE,Night Must Fall,Dame May Whitty
1938,ACTRESS IN A SUPPORTING ROLE,Stage Door,Andrea Leeds
1938,ACTRESS,Stella Dallas,Barbara Stanwyck
1938,ACTRESS IN A SUPPORTING ROLE,Stella Dallas,Anne Shirley
1938,ACTRESS,The Awful Truth,Irene Dunne
1938,ACTRESS,The Good Earth,Luise Rainer
1939,ACTRESS,Jezebel,Bette Davis
1939,ACTRESS IN A SUPPORTING ROLE,Jezebel,Fay Bainter
1939,ACTRESS,Marie Antoinette (1938),Norma Shearer
1939,ACTRESS IN A SUPPORTING ROLE,Merrily We Live,Billie Burke
1939,ACTRESS IN A SUPPORTING ROLE,Of Human Hearts,Beulah Bondi
1939,ACTRESS,Pygmalion,Wendy Hiller
1939,ACTRESS IN A SUPPORTING ROLE,The Great Waltz,Miliza Korjus
1939,ACTRESS,Three Comrades,Margaret Sullavan
1939,ACTRESS,White Banners,Fay Bainter
1939,ACTRESS IN A SUPPORTING ROLE,You Can't Take It with You,Spring Byington
1940,ACTRESS,Dark Victory,Bette Davis
1940,ACTRESS IN A SUPPORTING ROLE,Drums along the Mohawk,Edna May Oliver
1940,ACTRESS,Gone with the Wind,Vivien Leigh
1940,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,Olivia de Havilland
1940,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,Hattie McDaniel
1940,ACTRESS,"Goodbye, Mr. Chips (1939)",Greer Garson
1940,ACTRESS,Love Affair,Irene Dunne
1940,ACTRESS IN A SUPPORTING ROLE,Love Affair,Maria Ouspenskaya
1940,ACTRESS,Ninotchka,Greta Garbo
1940,ACTRESS IN A SUPPORTING ROLE,Wuthering Heights,Geraldine Fitzgerald
1941,ACTRESS IN A SUPPORTING ROLE,"All This, and Heaven Too",Barbara O'Neil
1941,ACTRESS,Kitty Foyle,Ginger Rogers
1941,ACTRESS,Our Town,Martha Scott
1941,ACTRESS IN A SUPPORTING ROLE,Primrose Path,Marjorie Rambeau
1941,ACTRESS,Rebecca,Joan Fontaine
1941,ACTRESS IN A SUPPORTING ROLE,Rebecca,Judith Anderson
1941,ACTRESS IN A SUPPORTING ROLE,The Grapes of Wrath,Jane Darwell
1941,ACTRESS,The Letter (1940),Bette Davis
1941,ACTRESS,The Philadelphia Story,Katharine Hepburn
1941,ACTRESS IN A SUPPORTING ROLE,The Philadelphia Story,Ruth Hussey
1942,ACTRESS,Ball of Fire,Barbara Stanwyck
1942,ACTRESS,Blossoms in the Dust,Greer Garson
1942,ACTRESS,Hold Back the Dawn,Olivia de Havilland
1942,ACTRESS IN A SUPPORTING ROLE,How Green Was My Valley,Sara Allgood
1942,ACTRESS IN A SUPPORTING ROLE,Sergeant York,Margaret Wycherly
1942,ACTRESS,Suspicion,Joan Fontaine
1942,ACTRESS IN A SUPPORTING ROLE,The Great Lie,Mary Astor
1942,ACTRESS,The Little Foxes,Bette Davis
1942,ACTRESS IN A SUPPORTING ROLE,The Little Foxes,Patricia Collinge
1942,ACTRESS IN A SUPPORTING ROLE,The Little Foxes,Teresa Wright
1943,ACTRESS,Mrs. Miniver,Greer Garson
1943,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,Teresa Wright
1943,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,Dame May Whitty
1943,ACTRESS,My Sister Eileen,Rosalind Russell
1943,ACTRESS,"Now, Voyager",Bette Davis
1943,ACTRESS IN A SUPPORTING ROLE,"Now, Voyager",Gladys Cooper
1943,ACTRESS IN A SUPPORTING ROLE,Random Harvest,Susan Peters
1943,ACTRESS IN A SUPPORTING ROLE,The Magnificent Ambersons,Agnes Moorehead
1943,ACTRESS,The Pride of the Yankees,Teresa Wright
1943,ACTRESS,Woman of the Year,Katharine Hepburn
1944,ACTRESS,For Whom the Bell Tolls,Ingrid Bergman
1944,ACTRESS IN A SUPPORTING ROLE,For Whom the Bell Tolls,Katina Paxinou
1944,ACTRESS,Madame Curie,Greer Garson
1944,ACTRESS IN A SUPPORTING ROLE,So Proudly We Hail!,Paulette Goddard
1944,ACTRESS,The Constant Nymph,Joan Fontaine
1944,ACTRESS,The More the Merrier,Jean Arthur
1944,ACTRESS,The Song of Bernadette,Jennifer Jones
1944,ACTRESS IN A SUPPORTING ROLE,The Song of Bernadette,Anne Revere
1944,ACTRESS IN A SUPPORTING ROLE,The Song of Bernadette,Gladys Cooper
1944,ACTRESS IN A SUPPORTING ROLE,Watch on the Rhine,Lucile Watson
1945,ACTRESS,Double Indemnity,Barbara Stanwyck
1945,ACTRESS IN A SUPPORTING ROLE,Dragon Seed,Aline MacMahon
1945,ACTRESS,Gaslight,Ingrid Bergman
1945,ACTRESS IN A SUPPORTING ROLE,Gaslight,Angela Lansbury
1945,ACTRESS,Mr. Skeffington,Bette Davis
1945,ACTRESS,Mrs. Parkington,Greer Garson
1945,ACTRESS IN A SUPPORTING ROLE,Mrs. Parkington,Agnes Moorehead
1945,ACTRESS IN A SUPPORTING ROLE,None but the Lonely Heart,Ethel Barrymore
1945,ACTRESS,Since You Went Away,Claudette Colbert
1945,ACTRESS IN A SUPPORTING ROLE,Since You Went Away,Jennifer Jones
1946,ACTRESS,Leave Her to Heaven,Gene Tierney
1946,ACTRESS,Love Letters,Jennifer Jones
1946,ACTRESS,Mildred Pierce,Joan Crawford
1946,ACTRESS IN A SUPPORTING ROLE,Mildred Pierce,Ann Blyth
1946,ACTRESS IN A SUPPORTING ROLE,Mildred Pierce,Eve Arden
1946,ACTRESS IN A SUPPORTING ROLE,National Velvet,Anne Revere
1946,ACTRESS,The Bells of St. Mary's,Ingrid Bergman
1946,ACTRESS IN A SUPPORTING ROLE,The Corn Is Green,Joan Lorring
1946,ACTRESS IN A SUPPORTING ROLE,The Picture of Dorian Gray,Angela Lansbury
1946,ACTRESS,The Valley of Decision,Greer Garson
1947,ACTRESS IN A SUPPORTING ROLE,Anna and the King of Siam,Gale Sondergaard
1947,ACTRESS,Brief Encounter,Celia Johnson
1947,ACTRESS,Duel in the Sun,Jennifer Jones
1947,ACTRESS IN A SUPPORTING ROLE,Duel in the Sun,Lillian Gish
1947,ACTRESS IN A SUPPORTING ROLE,Saratoga Trunk,Flora Robson
