year_film,year_ceremony,category,film,name
1927,1928,ACTOR,The Last Command,Emil Jannings
1927,1928,ACTRESS,7th Heaven,Janet Gaynor
1927,1928,ART DIRECTION,The Dove (1927),William Cameron Menzies
1927,1928,CINEMATOGRAPHY,Sunrise,Karl Struss
1927,1928,CINEMATOGRAPHY,Sunrise,Charles Rosher
1927,1928,DIRECTING (Comedy Picture),Two Arabian Knights,Lewis Milestone
1927,1928,DIRECTING (Dramatic Picture),7th Heaven,Frank Borzage
1927,1928,ENGINEERING EFFECTS,Wings,Roy Pomeroy
1927,1928,OUTSTANDING PICTURE,Wings,Paramount Famous Lasky
1927,1928,UNIQUE AND ARTISTIC PICTURE,Sunrise,Fox
1927,1928,WRITING (Adaptation),7th Heaven,Benjamin Glazer
1927,1928,WRITING (Original Story),Underworld,Ben Hecht
1928,1929,ACTOR,In Old Arizona,Warner Baxter
1928,1929,ACTRESS,Coquette,Mary Pickford
1928,1929,ART DIRECTION,The Bridge of San Luis Rey (1928),Cedric Gibbons
1928,1929,CINEMATOGRAPHY,White Shadows in the South Seas,Clyde De Vinna
1928,1929,DIRECTING,The Divine Lady,Frank Lloyd
1928,1929,OUTSTANDING PICTURE,The Broadway Melody,Metro-Goldwyn-Mayer
1928,1929,WRITING,The Patriot (1928),Hans Kraly
1929,1930,ACTOR,Disraeli,George Arliss
1929,1930,ACTRESS,The Divorcee,Norma Shearer
1929,1930,ART DIRECTION,King of Jazz,Herman Rosse
1929,1930,CINEMATOGRAPHY,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer"
1929,1930,DIRECTING,All Quiet on the Western Front (1929),Lewis Milestone
1929,1930,OUTSTANDING PRODUCTION,All Quiet on the Western Front (1929),Universal
1929,1930,SOUND RECORDING,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929,1930,WRITING,The Big House,Frances Marion
1930,1931,ACTOR,A Free Soul,Lionel Barrymore
1930,1931,ACTRESS,Min and Bill,Marie Dressler
1930,1931,ART DIRECTION,Cimarron (1930),Max Rée
1930,1931,CINEMATOGRAPHY,Tabu,Floyd Crosby
1930,1931,DIRECTING,Skippy,Norman Taurog
1930,1931,OUTSTANDING PRODUCTION,Cimarron (1930),RKO Radio
1930,1931,WRITING (Adaptation),Cimarron (1930),Howard Estabrook
1930,1931,WRITING (Original Story),The Dawn Patrol,John Monk Saunders
1931,1932,ACTOR,Dr. Jekyll and Mr. Hyde (1931),Fredric March
1931,1932,ACTOR,The Champ (1931),Wallace Beery
1931,1932,ACTRESS,The Sin of Madelon Claudet,Helen Hayes
1931,1932,ART DIRECTION,Transatlantic,Gordon Wiles
1931,1932,CINEMATOGRAPHY,Shanghai Express,Lee Garmes
1931,1932,DIRECTING,Bad Girl,Frank Borzage
1931,1932,OUTSTANDING PRODUCTION,Grand Hotel,Metro-Goldwyn-Mayer
1931,1932,SHORT SUBJECT (Cartoon),Flowers and Trees,"Walt Disney, Producer"
1931,1932,SHORT SUBJECT (Comedy),The Music Box,"Hal Roach, Producer"
1931,1932,SHORT SUBJECT (Novelty),Wrestling Swordfish,"Mack Sennett, Producer"
1931,1932,WRITING (Adaptation),Bad Girl,Edwin Burke
1931,1932,WRITING (Original Story),The Champ (1931),Frances Marion
1932,1933,ACTOR,The Private Life of Henry VIII,Charles Laughton
1932,1933,ACTRESS,Morning Glory,Katharine Hepburn
1932,1933,ART DIRECTION,Cavalcade,William S. Darling
1932,1933,CINEMATOGRAPHY,A Farewell to Arms (1932),"Charles Bryant Lang, Jr."
1932,1933,DIRECTING,Cavalcade,Frank Lloyd
1932,1933,OUTSTANDING PRODUCTION,Cavalcade,Fox
1932,1933,SHORT SUBJECT (Cartoon),The Three Little Pigs,"Walt Disney, Producer"
1932,1933,SHORT SUBJECT (Comedy),So This Is Harris,"Louis Brock, Producer"
1932,1933,SHORT SUBJECT (Novelty),Krakatoa,"Joe Rock, Producer"
1932,1933,SOUND RECORDING,A Farewell to Arms (1932),"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932,1933,WRITING (Adaptation),Little Women (1932),"Victor Heerman, Sarah Y. Mason"
1932,1933,WRITING (Original Story),One Way Passage,Robert Lord
