film,year_film
"$1,000 a Minute",1935
'38',1986
'Crocodile' Dundee,1986
'Round Midnight,1986
(A) Torzija [(A) Torsion],2003
...And Justice for All,1979
10,1979
102 Dalmatians,2000
12,2007
12 Angry Men,1957
12 Monkeys,1995
12 Years a Slave,2013
127 Hours,2010
12:01 PM,1990
13 Hours: The Secret Soldiers of Benghazi,2016
13th,2016
140 Days under the World,1964
1776,1972
1848,1949
1917,2019
1941,1979
20 Days in Mariupol,2023
20 Feet from Stardom,2013
"20,000 Leagues under the Sea",1954
2001: A Space Odyssey,1968
2010,1984
20th Century Women,2016
21 Grams,2003
24-Hour Alert,1955
3 Misses,1999
3:10 to Yuma,2007
3rd Ave. El,1955
4 Little Girls,1997
4.1 Miles,2016
42nd Street,1932
45 Years,2015
5 Broken Cameras,2012
55 Days at Peking,1963
7 Faces of Dr. Lao,1964
7:35 in the Morning (7:35 de la Mañana),2004
7th Heaven,1927
8 Mile,2002
89mm od Europy (89mm from Europe),1994
9,2005
A Beautiful Day in the Neighborhood,2019
A Beautiful Mind,2001
A Better Life,2011
A Boy Named Charlie Brown,1970
A Boy and His Dog,1946
A Bug's Life,1998
A Cage of Nightingales,1947
A Cat in Paris,2011
A Certain Smile,1958
A Chairy Tale,1957
A Chance to Live,1949
A Chef in Love,1996
A Chorus Line,1985
A Christmas Carol,1972
A City Called Copenhagen,1960
A City Decides,1956
A Civil Action,1998
A Clockwork Orange,1971
A Close Shave,1995
A Concerto Is a Conversation,2020
A Cry in the Dark,1988
A Damsel in Distress,1937
A Day at the Races,1937
A Day in the Life of Bonnie Consolo,1975
A Different Approach,1978
A Double Life,1947
A Dry White Season,1989
A Fantastic Woman,2017
A Farewell to Arms (1932),1932
A Farewell to Arms (1957),1957
A Few Good Men,1992
A Few Notes on Our Food Problem,1968
A Fish Called Wanda,1988
A Foreign Affair,1948
A Free Soul,1930
A Funny Thing Happened on the Way to the Forum,1966
A Gathering of Eagles,1963
A Girl in the River: The Price of Forgiveness,2015
A Grand Day Out,1990
A Great Day in Harlem,1994
A Greek Tragedy,1986
A Gun in His Hand,1945
A Guy Named Joe,1944
A Handful of Dust,1988
A Hard Day's Night,1964
A Hatful of Rain,1957
A History of Violence,2005
A Hole in the Head,1959
A House Is Not a Home,1964
A House Made of Splinters,2022
A Jury of Her Peers,1980
A King's Story,1967
A Letter to Three Wives,1949
A Little Night Music,1977
A Little Princess,1995
A Little Romance,1979
A Little Vicious,1991
A Long Way from Nowhere,1970
A Love Song for Latasha,2020
A Majority of One,1961
A Man Called Ove,2016
A Man Called Peter,1955
A Man Thing (Meska Sprawa),2001
A Man and a Woman,1966
A Man for All Seasons,1966
A Matter of Loaf and Death,2009
A Medal for Benny,1945
A Midsummer Night's Dream,1935
A Mighty Wind,2003
A Morning Stroll,2011
A New Kind of Love,1963
A Night at The Garden,2018
A Night at the Movies,1937
A Note of Triumph: The Golden Age of Norman Corwin,2005
A Passage to India,1984
A Patch of Blue,1965
A Place in the Land,1998
A Place in the Sun (1951),1951
A Place in the Sun (1960),1960
A Place in the World,1992
A Place to Live,1941
A Place to Stand,1967
A Portrait of Giselle,1982
A Preferred List,1932
A Prophet,2009
A Queen Is Crowned,1953
A Quiet Place,2018
A Rage to Live,1965
A River Runs through It,1992
A Room with a View,1986
A Royal Affair,2012
A Separation,2011
A Serious Man,2009
A Shaun the Sheep Movie: Farmageddon,2020
A Ship Comes In,1927
A Ship Is Born,1942
A Shocking Accident,1982
A Simple Plan,1998
A Simple Story,1979
A Single Life,2014
A Single Man,2009
A Sister,2019
A Soccer Story (Uma Historia de Futebol),2000
A Soldier's Story,1984
A Song to Remember,1945
A Space to Grow,1968
A Special Day,1977
A Sport Is Born,1960
A Star Is Born (1937),1937
A Star Is Born (1954),1954
A Star Is Born (1976),1976
A Star Is Born (2018),2018
A Stitch for Time,1987
A Stolen Life,1946
A Story of Healing,1997
A Streetcar Named Desire,1951
A Tale of Two Cities,1936
A Thousand Clowns,1965
A Thousand and One Nights,1945
A Time Out of War,1954
A Time for Burning,1967
A Time for Justice,1994
A Time to Love and a Time to Die,1958
A Touch of Class,1973
A Tree Grows in Brooklyn,1945
A Very Long Engagement,2004
A Voice Is Born: The Story of Niklos Gafni,1947
A War,2015
A Way Out of the Wilderness,1968
A Wild Hare,1940
A Woman of Affairs,1928
A Woman under the Influence,1974
A Yank in the R.A.F.,1941
A Year toward Tomorrow,1966
A.I. Artificial Intelligence,2001
Abacus: Small Enough to Jail,2017
Abe Lincoln in Illinois,1940
About Schmidt,2002
About a Boy,2002
Above and Beyond,1953
Absence of Malice,1981
Across the Universe,2007
Action in the North Atlantic,1943
Ad Astra,2019
Adam,1992
Adam Clayton Powell,1989
Adam and Dog,2012
Adam's Rib,1950
Adaptation,2002
Addams Family Values,1993
Address Unknown,1944
Adolescence,1966
Adventure in the Bronx,1941
Adventures in Perception,1971
Adventures of Robinson Crusoe,1954
Affair in Trinidad,1952
Affairs of the Art,2021
Affliction,1998
"Africa, Prelude to Victory",1942
After the Axe,1982
After the Thin Man,1936
After the Wedding,2006
Afterglow,1997
Aftersun,2022
Against All Odds,1984
Against Wind and Tide: A Cuban Odyssey,1981
Agatha,1979
Agee,1980
Agnes of God,1985
"Agueda Martinez: Our People, Our Country",1977
Air Force,1943
Air Force One,1997
Airport,1970
Airport '77,1977
Ajami,2009
Ala Kachuu - Take and Run,2021
Aladdin,1992
Alaska Wilderness Lake,1971
Alaska: Spirit of the Wild,1997
Albert Nobbs,2011
Albert Schweitzer,1957
Alexander's Ragtime Band,1938
Alfie,1966
Algiers,1938
Ali,2001
Ali Baba Goes to Town,1937
Alibi,1928
Alice,1990
Alice Adams,1935
Alice Doesn't Live Here Anymore,1974
Alice in Wonderland (1951),1951
Alice in Wonderland (2010),2010
Alice's Restaurant,1969
Alien,1979
Alien 3,1992
Aliens,1986
Alive in the Deep,1941
All Is Lost,2013
All Nothing,1980
All Out for 'V',1942
All Quiet on the Western Front (1929),1929
All Quiet on the Western Front (2022),2022
All That Breathes,2022
All That Jazz,1979
All That Money Can Buy,1941
All Things Fair,1995
"All This, and Heaven Too",1940
All about Eve,1950
All about My Mother,1999
All the Beauty and the Bloodshed,2022
All the Brothers Were Valiant,1953
All the King's Men,1949
All the Money in the World,2017
All the President's Men,1976
All-American Co-Ed,1941
Allied,2016
Almost Famous,2000
Aloma of the South Seas,1941
Alone Yet Not Alone,2013
Along the Rainbow Trail,1945
Alsino and the Condor,1982
Altered States,1980
Alvorada (Brazil's Changing Face),1962
Always a New Beginning,1973
Always in My Heart,1942
Ama Girls,1958
Amadeus,1984
Amarcord (1974),1974
Amarcord (1975),1975
Amazon,1997
Amazon Diary,1989
America America,1963
American Beauty,1999
American Dream,1990
American Factory,2019
American Fiction,2023
American Gangster,2007
American Graffiti,1973
American History X,1998
American Hustle,2013
American Shoeshine,1976
American Sniper,2014
American Splendor,2003
American Symphony,2023
Americas in Transition,1981
Amistad,1997
Amores Perros,2000
Amour,2012
Amphibious Fighters,1943
Amy,2015
Amélie,2001
An Affair to Remember,1957
An American Dream,1966
An American Tail,1986
An American Werewolf in London,1981
An American in Paris,1951
An Education,2009
An Encounter with Faces,1978
An Essay on Matisse,1996
An Impression of John Steinbeck: Writer,1969
An Inconvenient Truth,2006
An Irish Goodbye,2022
An Occurrence at Owl Creek Bridge,1963
An Officer and a Gentleman,1982
