country,year,region,population,life_expectancy,age5_surviving,babies_per_woman,gdp_per_capita
Afghanistan,1800,Asia,3280000.0,28.2,53.1,7.0,599.0
Afghanistan,1806,Asia,3280000.0,28.1,53.0,7.0,599.0
Afghanistan,1816,Asia,3280000.0,28.1,52.900000000000006,7.0,599.0
Afghanistan,1817,Asia,3280000.0,28.0,52.900000000000006,7.0,599.0
Afghanistan,1820,Asia,3290000.0,28.0,52.900000000000006,7.0,599.0
Afghanistan,1821,Asia,3300000.0,28.0,52.900000000000006,7.0,599.0
Afghanistan,1822,Asia,3310000.0,28.0,52.900000000000006,7.0,601.0
Afghanistan,1823,Asia,3320000.0,28.0,52.900000000000006,7.0,602.0
Afghanistan,1824,Asia,3340000.0,28.0,52.900000000000006,7.0,603.0
Afghanistan,1825,Asia,3350000.0,27.9,52.900000000000006,7.0,605.0
Afghanistan,1826,Asia,3370000.0,27.9,52.7,7.0,606.0
Afghanistan,1827,Asia,3380000.0,27.9,52.7,7.0,607.0
Afghanistan,1828,Asia,3400000.0,27.9,52.7,7.0,609.0
Afghanistan,1829,Asia,3410000.0,27.9,52.7,7.0,610.0
Afghanistan,1830,Asia,3430000.0,27.9,52.7,7.0,611.0
Afghanistan,1831,Asia,3450000.0,27.9,52.7,7.0,613.0
Afghanistan,1832,Asia,3460000.0,27.9,52.7,7.0,614.0
Afghanistan,1833,Asia,3480000.0,27.9,52.7,7.0,616.0
Afghanistan,1834,Asia,3490000.0,27.9,52.7,7.0,617.0
Afghanistan,1835,Asia,3510000.0,27.9,52.7,7.0,618.0
Afghanistan,1836,Asia,3520000.0,27.8,52.6,7.0,620.0
Afghanistan,1837,Asia,3540000.0,27.8,52.6,7.0,621.0
Afghanistan,1838,Asia,3550000.0,27.8,52.6,7.0,623.0
Afghanistan,1839,Asia,3570000.0,27.8,52.6,7.0,624.0
Afghanistan,1840,Asia,3590000.0,27.8,52.6,7.0,625.0
Afghanistan,1841,Asia,3600000.0,27.8,52.6,7.0,627.0
Afghanistan,1842,Asia,3620000.0,27.8,52.6,7.0,628.0
Afghanistan,1843,Asia,3630000.0,27.8,52.6,7.0,630.0
Afghanistan,1844,Asia,3650000.0,27.8,52.6,7.0,631.0
Afghanistan,1845,Asia,3670000.0,27.8,52.400000000000006,7.0,633.0
Afghanistan,1846,Asia,3680000.0,27.7,52.400000000000006,7.0,634.0
Afghanistan,1847,Asia,3700000.0,27.7,52.400000000000006,7.0,635.0
Afghanistan,1848,Asia,3720000.0,27.7,52.400000000000006,7.0,637.0
Afghanistan,1849,Asia,3730000.0,27.7,52.400000000000006,7.0,638.0
Afghanistan,1850,Asia,3750000.0,27.7,52.400000000000006,7.0,640.0
Afghanistan,1851,Asia,3770000.0,27.9,52.400000000000006,7.0,641.0
Afghanistan,1852,Asia,3790000.0,28.0,52.400000000000006,7.0,643.0
Afghanistan,1853,Asia,3810000.0,28.2,52.400000000000006,7.0,644.0
Afghanistan,1854,Asia,3830000.0,28.3,52.400000000000006,7.0,646.0
Afghanistan,1855,Asia,3850000.0,28.5,52.300000000000004,7.0,647.0
Afghanistan,1856,Asia,3870000.0,28.6,52.300000000000004,7.0,649.0
Afghanistan,1857,Asia,3880000.0,28.8,52.300000000000004,7.0,650.0
Afghanistan,1858,Asia,3900000.0,28.9,52.300000000000004,7.0,651.0
Afghanistan,1859,Asia,3920000.0,29.1,52.300000000000004,7.0,653.0
Afghanistan,1860,Asia,3940000.0,29.2,52.300000000000004,7.0,654.0
Afghanistan,1861,Asia,3960000.0,29.4,52.300000000000004,7.0,656.0
Afghanistan,1862,Asia,3980000.0,29.5,52.300000000000004,7.0,657.0
Afghanistan,1863,Asia,4000000.0,29.7,52.300000000000004,7.0,659.0
Afghanistan,1864,Asia,4019999.9999999995,29.8,52.300000000000004,7.0,660.0
Afghanistan,1865,Asia,4040000.0,30.0,52.1,7.0,662.0
Afghanistan,1866,Asia,4059999.9999999995,30.1,52.1,7.0,663.0
Afghanistan,1867,Asia,4080000.0,30.3,52.1,7.0,665.0
Afghanistan,1868,Asia,4110000.0000000005,30.4,52.1,7.0,666.0
Afghanistan,1869,Asia,4130000.0,30.6,52.1,7.0,668.0
Afghanistan,1870,Asia,4150000.0000000005,30.7,52.1,7.0,669.0
Afghanistan,1871,Asia,4170000.0,30.9,52.1,7.0,671.0
Afghanistan,1872,Asia,4190000.0000000005,31.0,52.1,7.0,672.0
